COMMODITY_DESC,encarecido,normal,rebajado,efecto_rebaja_pct,n_total,n_rebajado
CHIPS&SNACKS,1.0798722044728435,1.1039823008849559,1.110062893081761,0.5507871088088034,1987,318
ORAL HYGIENE PRODUCTS,1.1485335856196783,1.1658291457286432,1.171773444753946,0.5098773732910677,10293,1077
SNACK NUTS,1.1355932203389831,1.186115506329114,1.191860465116279,0.48435070248300516,5346,172
BROCCOLI/CAULIFLOWER,1.1627565982404693,1.146938775510204,1.151685393258427,0.41385101363509147,4984,1958
NEWSPAPER,1.0123655913978495,1.0103259115843821,1.014354066985646,0.3986986134946191,5377,418
STONE FRUIT,1.01396090945353,1.0129870129870129,1.0163265306122449,0.3296703296703285,6553,3430
FEMININE HYGIENE,1.0776495278069256,1.0628148148148149,1.065613608748481,0.2633378736025538,5151,823
MISC. DAIRY,1.150105708245243,1.1669527896995708,1.17,0.26112541375504783,8936,1000
CONVENIENT BRKFST/WHLSM SNACKS,1.1538028169014085,1.1521984216459977,1.1549950215731828,0.24271860424787128,22528,3013
DIAPERS & DISPOSABLES,1.0,1.0606251311097126,1.0625,0.17677017405064444,4983,176
DOMESTIC WINE,1.1396984924623115,1.192390139335477,1.194471865745311,0.17458433621349023,5740,1013
SALAD MIX,1.173529411764706,1.1954254115872816,1.1972477064220184,0.1524390243902607,17030,436
COLD CEREAL,1.0861842105263158,1.093497031840259,1.0947339091668988,0.11311208815611984,37797,3589
PEARS,1.0077519379844961,1.0057471264367817,1.0064695009242144,0.07182466332187332,2030,1082
DEODORANTS,1.1441717791411044,1.114042319318494,1.1140235910878113,-0.0016811058572874238,5054,763
SPICES & EXTRACTS,1.0881801125703565,1.0900469570021176,1.0880316518298714,-0.18488241807387285,12938,1011
DIETARY AID PRODUCTS,1.3275862068965518,1.4524495677233429,1.448,-0.30634920634921015,2381,125
BEEF,1.2786109985137144,1.3813264738598443,1.3760090493084478,-0.3849506001675329,48635,19449
DRY MIX DESSERTS,1.4195121951219511,1.4758231161316986,1.469847581179589,-0.4048950641030835,9383,1509
COLD AND FLU,1.1340341655716164,1.0995409015025042,1.0932203389830508,-0.5748365077475892,6143,590
TROPICAL FRUIT,1.1649368071736215,1.160146173688736,1.1515151515151516,-0.7439598879287468,34391,15576
SNACKS,1.1666666666666667,1.1494252873563218,1.1408450704225352,-0.7464788732394312,1424,71
FROZEN BREAD/DOUGH,1.1938610662358642,1.1925504078805602,1.1820480404551201,-0.8806644445416123,7907,791
DISHWASH DETERGENTS,1.0406189555125724,1.0468833244539157,1.0374692874692875,-0.8992441435189513,6933,1628
SYRUPS/TOPPINGS,1.058139534883721,1.0550755939524838,1.0454545454545454,-0.9118823857820924,1338,154
WATER,1.2083333333333333,1.6218323586744638,1.6056338028169015,-0.9987811484290288,2290,142
FROZEN PIE/DESSERTS,1.3614864864864864,1.237680128091087,1.2246278755074425,-1.0545739797709563,7544,739
PIES,1.041237113402062,1.04043987229514,1.025,-1.4839754517558812,2996,80
FRZN BREAKFAST FOODS,1.2068141063956963,1.2156735751295338,1.1972511144130757,-1.5154117925525457,10541,2692
GRAPES,1.0254561838251859,1.0362903225806452,1.0204814189189189,-1.5255284467346808,10663,4736
FRZN NOVELTIES/WTR ICE,1.1471264367816092,1.1524195885250652,1.1331689272503083,-1.6704559230371174,14091,2433
POTATOES,1.1030277544154752,1.2530949105914717,1.2316973748573292,-1.7075750251066557,16175,6133
VEGETABLES SALAD,1.0904411764705881,1.1036375239310785,1.0844547563805105,-1.7381402076870667,11350,2155
BATTERIES,1.1140684410646389,1.1455761316872428,1.125,-1.7961383026493083,2583,376
COOKIES/CONES,1.0995475113122173,1.134566578309176,1.1141744081510339,-1.7973533283989651,22615,3337
DRIED FRUIT,1.0935960591133005,1.139349701393497,1.11864406779661,-1.817320316278892,3453,236
SANDWICHES,1.1153846153846154,1.309823677581864,1.2857142857142858,-1.840659340659323,1031,133
SEAFOOD - FROZEN,1.1677943166441136,1.2739977413890458,1.25,-1.8836565096952973,8759,936
SALADS/DIPS,1.1019462465245597,1.0904950495049506,1.0698151950718686,-1.8963730685865987,7590,1461
UNKNOWN,1.1542857142857144,1.237057220708447,1.2127659574468086,-1.963632955291028,1093,376
SOAP - LIQUID & BAR,1.11837048424289,1.1471615720524018,1.1215900233826968,-2.229114825033285,7164,1283
COOKIES,1.1370558375634519,1.1919342793129202,1.164835164835165,-2.273540995345502,4396,182
CIGARETTES,1.3299129353233832,1.4000610780271798,1.3677003624647603,-2.311378844130063,12248,2483
MILK BY-PRODUCTS,1.1536398467432951,1.161294465134198,1.1343562098279079,-2.3196748210779883,23007,4823
LUNCHMEAT,1.236842105263158,1.3229628747506623,1.2920245398773007,-2.338564102125129,34784,815
SHORTENING/OIL,1.029440628066732,1.0841547741650728,1.057742782152231,-2.4361827888626175,8959,1143
